 # Key parameters for the calculation
 # TASK,INSTR,TEMP,WING,E_UNIT
 #    1,   3, 300,   0,   1
 # Q, deltaE, Total
    0.050000,   16.599431,   -1.000000
    0.050000,   16.699427,   -1.000000
    0.050000,   16.799424,   -1.000000
    0.050000,   16.899420,   -1.000000
    0.050000,   16.999417,   -1.000000
    0.050000,   17.099413,   -1.000000
    0.050000,   17.199410,   -1.000000
    0.050000,   17.299406,   -1.000000
    0.050000,   17.399403,   -1.000000
    0.050000,   17.499400,   -1.000000
    0.050000,   17.599396,   -1.000000
    0.050000,   17.699393,   -1.000000
    0.050000,   17.799389,   -1.000000
    0.050000,   17.899386,   -1.000000
    0.050000,   17.999382,   -1.000000
    0.050000,   18.099379,   -1.000000
    0.050000,   18.199376,   -1.000000
    0.050000,   18.299372,   -1.000000
    0.050000,   18.399369,   -1.000000
    0.050000,   18.499365,   -1.000000
    0.050000,   18.599362,   -1.000000
    0.050000,   18.699358,   -1.000000
    0.050000,   18.799355,   -1.000000
    0.050000,   18.899352,   -1.000000
    0.050000,   18.999348,   -1.000000
    0.050000,   19.099345,   -1.000000
    0.050000,   19.199341,   -1.000000
    0.050000,   19.299338,   -1.000000
    0.050000,   19.399334,   -1.000000
    0.050000,   19.499331,   -1.000000
    0.050000,   19.599328,   -1.000000
    0.050000,   19.699324,   -1.000000
    0.050000,   19.799321,   -1.000000
    0.050000,   19.899317,   -1.000000
    0.050000,   19.999314,   -1.000000
    0.050000,   20.099310,   -1.000000
    0.050000,   20.199307,   -1.000000
    0.050000,   20.299304,   -1.000000
    0.050000,   20.399300,   -1.000000
    0.050000,   20.499297,   -1.000000
    0.050000,   20.599293,   -1.000000
    0.050000,   20.699290,   -1.000000
    0.050000,   20.799286,   -1.000000
    0.050000,   20.899283,   -1.000000
    0.050000,   20.999280,   -1.000000
    0.050000,   21.099276,   -1.000000
    0.050000,   21.199273,   -1.000000
    0.050000,   21.299269,   -1.000000
    0.050000,   21.399266,   -1.000000
